,Title,Director,Year,Rating,Votes,Revenue,Producer,Oscar Year,Director oscars
908,Sleight,J.D. Dillard,2016,6.0,702,3.85,"['High Top Releasing', 'Diablo Entertainment', 'BH Tilt']",,
909,This Beautiful Fantastic,Simon Aboud,2016,6.9,688,,"['Constance Media', 'Ipso Facto Productions', 'Smudge Films']",,
910,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Joseph Cedar,2016,7.1,664,2.27,['Lightstream Pictures'],,
911,Lovesong,So Yong Kim,2016,6.4,616,0.01,"['Gamechanger Films', 'Autumn Productions', 'Monofonus Press', 'Soandbrad']",,
912,Dead Awake,Phillip Guzman,2016,4.7,523,0.01,"['Nu Image Films', 'Locomotion Films']",,
913,The Bad Batch,Ana Lily Amirpour,2016,6.1,512,,"['Annapurna Pictures', 'Vice Films', 'Neon']",,
914,Chalk It Up,Hisonni Johnson,2016,4.8,499,,[],,
915,The Levelling,Hope Dickson Leach,2016,6.4,482,,['Wellington Films'],,
916,Vincent N Roxxy,Gary Michael Schultz,2016,5.5,403,,"['Unified Pictures', 'Bron Capital Partners']",,
917,Chuck,Philippe Falardeau,2016,6.8,391,0.11,"['Campbell Grobman Films', 'Jeff Rice Films', 'Mike Tollin Productions']",,
918,The Secret Scripture,Jim Sheridan,2016,6.8,378,,"['Ferndale Films', 'Irish Film Board', 'Apollo Media']",,
919,Maudie,Aisling Walsh,2016,7.8,346,,[],,
920,Handsome Devil,John Butler,2016,7.4,338,,['Treasure Entertainment'],,
921,Wakefield,Robin Swicord,2016,7.5,291,0.01,['Mockingbird Pictures'],,
922,City of Tiny Lights,Pete Travis,2016,5.7,291,,"['BBC Films', 'MEDIA Programme of the European Union', 'UK Film Council', 'NDF International', 'Sixteen Films', 'Fel-UK']",,
923,American Wrestler: The Wizard,Alex Ranarivelo,2016,6.9,286,,"['ESX Productions', 'ESX Entertainment']",,
924,Lowriders,Ricardo de Montreuil,2016,6.3,279,4.21,"['Imagine Entertainment', 'Universal Pictures', 'Blumhouse Productions']",,
925,The Black Room,Rolfe Kanefsky,2016,3.9,240,,['Columbia Pictures Corporation'],,
926,Let Me Make You a Martyr,Corey Asraf,2016,6.4,223,,['Actium Pictures'],,
927,Folk Hero & Funny Guy,Jeff Grace,2016,5.6,220,,"['Chhibber Mann Productions', 'Foley Walkers Studio', 'Spitfire Studios']",,
928,Tracktown,Alexi Pappas,2016,5.9,115,,"['Bay Bridge Productions Inc.', 'Jay Smith Productions', 'Bunkhouse Films']",,
929,The Exception,David Leveaux,2016,7.7,96,,"['Umedia', 'Ostar Productions', 'Egoli Tossell Film', 'Egoli Tossell KLK', 'Alton Road Productions']",,
